"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Nfe2l1.W.Myc_-3|+|+",1247.21875,0.149835803855583,0.359699326137672,0.416558478061297,0.67700138560953,0.999999953144169
"Nfe2l1.W.Mbd2_-3|-|+",1921.0625,-0.046918465352223,0.316310462181401,-0.148330425205208,0.882082005097601,0.999999953144169
"Nfe2l1.W.Hnf1b_-2|-|-",1032.55625,-0.216150423601507,0.750826153410822,-0.287883450276189,0.773435955651028,0.999999953144169
"Nfe2l1.W.Hnf1b_-2|+|+",1034.45625,0.142488913943153,0.307395351404121,0.463536332909042,0.642979978123918,0.999999953144169
"Nfe2l1.W.Arid3a_-2|-|-",1371.3875,-0.0584149638015891,0.422115953033718,-0.138386060469321,0.889935313152093,0.999999953144169
"Nfe2l1.W.Arid3a_-2|+|+",1288.21875,0.250724554154426,0.255422526821375,0.981607054297782,0.326293470831209,0.999999953144169
"Myc.W.Cxxc1_-4|-|+",1502.85625,0.0776603775041191,0.286157915472426,0.27138993298825,0.786091143924924,0.999999953144169
"Myc.W.Creb3_-4|+|+",973.34375,-0.202249070968147,0.523819354938851,-0.386104616145306,0.699419191245005,0.999999953144169
"Mecp2.W.Zfp384_-4|+|-",1435.84375,-0.0179303537880085,0.155718189924403,-0.115146173974365,0.908329261732637,0.999999953144169
"Mecp2.W.Nr3c1_-4|+|+",1245.26875,-0.056425394177342,0.285967952765678,-0.197313697677085,0.843582060859488,0.999999953144169
"Mbd2.W.Smad4_-3|+|-",1332.3125,-0.130927497371202,0.250681124097965,-0.522287020382262,0.601470504991149,0.999999953144169
"Mbd2.W.Smad4_-3|+|+",951.3125,-0.0877671644128514,0.22990918948555,-0.381747091576641,0.702648966579133,0.999999953144169
"Mbd2.W.Nfatc2_-4|+|+",1069.1875,0.0964289731976203,0.402199123160021,0.239754309855257,0.810520729382661,0.999999953144169
"Maff:Mafk.W.Sox4_-4|-|+",725.625,-0.140429198386593,0.375938937973575,-0.373542573545451,0.708744665422168,0.999999953144169
